.DATA  mydata
+	R		C1		C2
	1k		1.0f		1.0f
	1k		1.0f		1.52f
	1k		1.0f		2.3f
	1k		1.0f		3.48f
	1k		1.0f		5.28f
	1k		1.0f		8.0f
	1k		1.23f		1.0f
	1k		1.23f		1.52f
	1k		1.23f		2.3f
	1k		1.23f		3.48f
	1k		1.23f		5.28f
	1k		1.23f		8.0f
	1k		1.52f		1.0f
	1k		1.52f		1.52f
	1k		1.52f		2.3f
	1k		1.52f		3.48f
	1k		1.52f		5.28f
	1k		1.52f		8.0f
	1k		1.87f		1.0f
	1k		1.87f		1.52f
	1k		1.87f		2.3f
	1k		1.87f		3.48f
	1k		1.87f		5.28f
	1k		1.87f		8.0f
	1k		2.3f		1.0f
	1k		2.3f		1.52f
	1k		2.3f		2.3f
	1k		2.3f		3.48f
	1k		2.3f		5.28f
	1k		2.3f		8.0f
	1k		2.83f		1.0f
	1k		2.83f		1.52f
	1k		2.83f		2.3f
	1k		2.83f		3.48f
	1k		2.83f		5.28f
	1k		2.83f		8.0f
	1k		3.48f		1.0f
	1k		3.48f		1.52f
	1k		3.48f		2.3f
	1k		3.48f		3.48f
	1k		3.48f		5.28f
	1k		3.48f		8.0f
	1k		4.29f		1.0f
	1k		4.29f		1.52f
	1k		4.29f		2.3f
	1k		4.29f		3.48f
	1k		4.29f		5.28f
	1k		4.29f		8.0f
	1k		5.28f		1.0f
	1k		5.28f		1.52f
	1k		5.28f		2.3f
	1k		5.28f		3.48f
	1k		5.28f		5.28f
	1k		5.28f		8.0f
	1k		6.5f		1.0f
	1k		6.5f		1.52f
	1k		6.5f		2.3f
	1k		6.5f		3.48f
	1k		6.5f		5.28f
	1k		6.5f		8.0f
	1k		8.0f		1.0f
	1k		8.0f		1.52f
	1k		8.0f		2.3f
	1k		8.0f		3.48f
	1k		8.0f		5.28f
	1k		8.0f		8.0f
	2k		1.0f		1.0f
	2k		1.0f		1.52f
	2k		1.0f		2.3f
	2k		1.0f		3.48f
	2k		1.0f		5.28f
	2k		1.0f		8.0f
	2k		1.23f		1.0f
	2k		1.23f		1.52f
	2k		1.23f		2.3f
	2k		1.23f		3.48f
	2k		1.23f		5.28f
	2k		1.23f		8.0f
	2k		1.52f		1.0f
	2k		1.52f		1.52f
	2k		1.52f		2.3f
	2k		1.52f		3.48f
	2k		1.52f		5.28f
	2k		1.52f		8.0f
	2k		1.87f		1.0f
	2k		1.87f		1.52f
	2k		1.87f		2.3f
	2k		1.87f		3.48f
	2k		1.87f		5.28f
	2k		1.87f		8.0f
	2k		2.3f		1.0f
	2k		2.3f		1.52f
	2k		2.3f		2.3f
	2k		2.3f		3.48f
	2k		2.3f		5.28f
	2k		2.3f		8.0f
	2k		2.83f		1.0f
	2k		2.83f		1.52f
	2k		2.83f		2.3f
	2k		2.83f		3.48f
	2k		2.83f		5.28f
	2k		2.83f		8.0f
	2k		3.48f		1.0f
	2k		3.48f		1.52f
	2k		3.48f		2.3f
	2k		3.48f		3.48f
	2k		3.48f		5.28f
	2k		3.48f		8.0f
	2k		4.29f		1.0f
	2k		4.29f		1.52f
	2k		4.29f		2.3f
	2k		4.29f		3.48f
	2k		4.29f		5.28f
	2k		4.29f		8.0f
	2k		5.28f		1.0f
	2k		5.28f		1.52f
	2k		5.28f		2.3f
	2k		5.28f		3.48f
	2k		5.28f		5.28f
	2k		5.28f		8.0f
	2k		6.5f		1.0f
	2k		6.5f		1.52f
	2k		6.5f		2.3f
	2k		6.5f		3.48f
	2k		6.5f		5.28f
	2k		6.5f		8.0f
	2k		8.0f		1.0f
	2k		8.0f		1.52f
	2k		8.0f		2.3f
	2k		8.0f		3.48f
	2k		8.0f		5.28f
	2k		8.0f		8.0f
